roundId,matchId,roundNumber,winCondition,winningTeamId,team1LoadoutTier,team2LoadoutTier,attackingTeamId,seriesId,teamOneId,teamTwoId,map,half,spikePlant,spikePlantRoundTimeMillis,defuse,defuseLeftTimeMillis,roundDurationMillis,spikeX,spikeY,sitePlant,atkPostPlant,defPostPlant
1265766,81108,9,defuse,6853,4.0,4.0,8222,36476.0,6853.0,8222.0,Ascent,first,True,97319,True,17898,124421,265.0,250.0,B,1.0,3.0
1265767,81108,10,kills,8222,3.0,4.0,8222,36476.0,6853.0,8222.0,Ascent,first,True,35423,False,,55534,208.0,339.0,B,4.0,1.0
1265768,81108,11,kills,6853,2.0,4.0,8222,36476.0,6853.0,8222.0,Ascent,first,,,,,87357,,,,,
1265769,81108,12,defuse,6853,4.0,4.0,8222,36476.0,6853.0,8222.0,Ascent,first,True,44062,True,14456,74606,834.0,352.0,A,3.0,3.0
1265770,81108,13,kills,6853,,,6853,36476.0,6853.0,8222.0,Ascent,second,True,31994,False,,65701,829.0,352.0,A,4.0,2.0
1265771,81108,14,kills,6853,3.0,1.0,6853,36476.0,6853.0,8222.0,Ascent,second,True,62761,False,,70817,830.0,352.0,A,5.0,1.0
1265772,81108,15,kills,6853,3.0,4.0,6853,36476.0,6853.0,8222.0,Ascent,second,True,63474,False,,78064,200.0,294.0,B,4.0,2.0
1265773,81108,16,kills,6853,4.0,2.0,6853,36476.0,6853.0,8222.0,Ascent,second,True,85501,False,,95872,827.0,352.0,A,3.0,2.0
1265774,81108,17,bomb,6853,4.0,4.0,6853,36476.0,6853.0,8222.0,Ascent,second,True,46130,False,,93665,830.0,353.0,A,4.0,1.0
1265775,81108,18,kills,6853,4.0,3.0,6853,36476.0,6853.0,8222.0,Ascent,second,True,95174,False,,123680,821.0,323.0,A,2.0,1.0
1266131,81109,1,kills,8222,,,6853,36476.0,6853.0,8222.0,Bind,first,,,,,47513,,,,,
1266132,81109,2,kills,8222,1.0,3.0,6853,36476.0,6853.0,8222.0,Bind,first,,,,,38188,,,,,
1266133,81109,3,kills,6853,4.0,3.0,6853,36476.0,6853.0,8222.0,Bind,first,,,,,42046,,,,,
1266134,81109,4,kills,8222,4.0,4.0,6853,36476.0,6853.0,8222.0,Bind,first,,,,,53386,,,,,
1266135,81109,5,kills,8222,4.0,4.0,6853,36476.0,6853.0,8222.0,Bind,first,,,,,56616,,,,,
1266136,81109,6,defuse,8222,2.0,4.0,6853,36476.0,6853.0,8222.0,Bind,first,True,86870,True,27024,104846,697.0,354.0,A,2.0,1.0
1266137,81109,7,defuse,8222,4.0,4.0,6853,36476.0,6853.0,8222.0,Bind,first,True,82767,True,11374,116393,324.0,278.0,B,1.0,2.0
1266138,81109,8,kills,6853,4.0,4.0,6853,36476.0,6853.0,8222.0,Bind,first,True,46695,False,,80911,277.0,307.0,B,3.0,4.0
1266139,81109,9,bomb,6853,4.0,2.0,6853,36476.0,6853.0,8222.0,Bind,first,True,51039,False,,89140,697.0,293.0,A,3.0,1.0
1266140,81109,10,kills,6853,4.0,4.0,6853,36476.0,6853.0,8222.0,Bind,first,True,24303,False,,53409,747.0,367.0,A,5.0,5.0
1266141,81109,11,kills,6853,4.0,3.0,6853,36476.0,6853.0,8222.0,Bind,first,POST-WIN,73688,,,73688,,,,,
1266142,81109,12,kills,6853,4.0,4.0,6853,36476.0,6853.0,8222.0,Bind,first,True,80298,False,,103248,281.0,295.0,B,1.0,2.0
1266143,81109,13,defuse,6853,,,8222,36476.0,6853.0,8222.0,Bind,second,True,30999,True,1066,74933,277.0,307.0,B,4.0,2.0
