Player,Agents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Role
Assass1N  BLIND,,40,247.5,1.09,63%,155.6,0.88,0.2,0.1,0.1,24%,,0/5,20,35,32,8,4,4,Non-Duelist
StereohearT  TC,,50,246.7,1.08,74%,151.5,0.82,0.22,0.26,0.08,22%,,0/8,17,41,38,11,13,4,Non-Duelist
Jfly  Weeb,,109,246,1.07,69%,153.4,0.84,0.17,0.17,0.16,25%,,0/15,26,92,86,18,19,17,Non-Duelist
Excali  ENGM,(+6),445,243.1,1.18,74%,152.9,0.82,0.31,0.11,0.11,25%,20%,Aug-40,25,364,308,136,50,50,Non-Duelist
KnightRider  RNT,,353,240.3,1.24,66%,146.5,0.89,0.09,0.2,0.16,29%,13%,May-40,32,313,252,31,71,58,Non-Duelist
psy  TR,,161,238.7,1.15,72%,154.7,0.82,0.32,0.16,0.07,23%,5%,Jan-20,22,132,115,52,26,12,Non-Duelist
Lightningfast  GES,(+1),592,238.7,1.1,74%,157.7,0.81,0.29,0.13,0.13,23%,14%,May-36,27,479,435,173,78,76,Non-Duelist
Dean  PE,,78,238.5,1.35,82%,157.1,0.83,0.37,0.12,0,25%,9%,01-Nov,21,65,48,29,9,0,Non-Duelist
Paradox  VL,(+3),494,238.3,1.13,72%,158.5,0.82,0.23,0.16,0.13,23%,20%,13/66,34,405,359,114,81,63,Non-Duelist
Qureshi  Weeb,,109,238.2,1.08,72%,157,0.84,0.21,0.13,0.12,24%,29%,02-Jul,26,92,85,23,14,13,Non-Duelist
Saunic  CC,,93,237.8,1.04,76%,161.6,0.8,0.44,0.1,0.09,24%,29%,02-Jul,24,74,71,41,9,8,Non-Duelist
Marzil  LE,,178,237.8,1.28,75%,157.6,0.87,0.37,0.07,0.08,28%,20%,Apr-20,35,155,121,65,12,15,Non-Duelist
Storax  FPG,,319,235.9,1.29,70%,150.4,0.84,0.14,0.13,0.13,22%,10%,May-50,28,269,208,44,41,42,Non-Duelist
venkabot  CC,,93,234.3,1.13,68%,152,0.84,0.15,0.22,0.22,33%,33%,02-Jun,26,78,69,14,20,20,Non-Duelist
Kohliii  FNG,,63,234.3,1.14,70%,161.3,0.79,0.37,0.1,0.02,31%,,0/6,23,50,44,23,6,1,Non-Duelist
Sprintz4k  THE,,36,233,1.18,72%,148.4,0.92,0.03,0.19,0.03,28%,9%,01-Nov,18,33,28,1,7,1,Non-Duelist
SmasGaming  TC,,50,232.7,1.09,62%,148,0.76,0.12,0.24,0.12,23%,,0/1,15,38,35,6,12,6,Non-Duelist
